,08031000_event_rainfall,08029500_event_rainfall,08025500_event_rainfall,08041300_event_rainfall,08011000_event_rainfall,08010000_event_rainfall,07376000_event_rainfall,07376500_event_rainfall,07375960_event_rainfall,07375800_event_rainfall,07378000_event_rainfall,07377240_event_rainfall,07377782_event_rainfall,07377500_event_rainfall,07375000_event_rainfall,08014800_event_rainfall,02481000_event_rainfall,02492343_event_rainfall,02492360_event_rainfall,07382000_event_rainfall,07383500_event_rainfall,07375280_event_rainfall,02488700_event_rainfall,02487900_event_rainfall,02485700_event_rainfall
1982-07-29 00:00:00+00:00,,,,,,,,,,,,1.9829773,,,,,,,,,,,,,
1982-07-31 00:00:00+00:00,,,,,,,,,,,,5.383148,,,,,,,,,,,,,
1982-08-03 00:00:00+00:00,,,,,,,,,,,,0.11493182,,,,,,,,,,,,,
1982-08-06 00:00:00+00:00,,,,,,,,,,,,4.052375,,,,,,,,,,,,,
1982-08-09 00:00:00+00:00,,,,,,,,,,,,3.3335795,,,,,,,,,,,,,
1982-08-12 00:00:00+00:00,,,,,,,,,,,,1.098659,,,,,,,,,,,,,
1982-08-15 00:00:00+00:00,,,,,,,,,,,,1.0713978,,,,,,,,,,,,,
1982-08-18 00:00:00+00:00,,,,,,,,,,,,2.8723636,,,,,,,,,,,,,
1982-08-29 00:00:00+00:00,,,,,,,,,,,,1.2131364,,,,,,,,,,,,,
1982-09-03 00:00:00+00:00,,,,,,,,,,,,0.1252159,,,,,,,,,,,,,
1982-09-11 00:00:00+00:00,,,,,,,,,,,,3.3926704,,,,,,,,,,,,,
1982-09-13 00:00:00+00:00,,,,,,,,,,,,0.6292386,,,,,,,,,,,,,
1982-09-17 00:00:00+00:00,,,,,,,,,,,,1.99825,,,,,,,,,,,,,
1982-10-02 00:00:00+00:00,,,,,,,,,,,,0.31918183,,,,,,,,,,,,,
1982-10-05 00:00:00+00:00,,,,,,,,,,,,1.9872955,,,,,,,,,,,,,
1982-10-07 00:00:00+00:00,,,,,,,,,,,,3.7295456,,,,,,,,,,,,,
1982-10-12 00:00:00+00:00,,,,,,,,,,,,0.6244432,,,,,,,,,,,,,
1982-10-30 00:00:00+00:00,,,,,,,,,,,,0.18522727,,,,,,,,,,,,,
1982-11-02 00:00:00+00:00,,,,,,,,,,,,0.7003296,,,,,,,,,,,,,
1982-11-12 00:00:00+00:00,,,,,,,,,,,,0.5804773,,,,,,,,,,,,,
1982-11-16 00:00:00+00:00,,,,,,,,,,,,2.697909,,,,,,,,,,,,,
