usgs_site_no,year,days,flow(mm),baseflow(mm),rainfall(mm),ET(mm),ET/day(mm/day),MODIS_ET(mm/day),MODIS_PET(mm/day),DI,Budyko_ET(mm/day),<ET/R>,<Qb/Qf>
02237734,2004,365.0,169.21710209431532,101.20236178153814,1457.7789,1288.5617789786827,3.530306243777213,1.9649765594672877,4.5799277374660345,1.14672642676596,2.9608786881909532,0.8839212529925259,0.5980622556999688
02237734,2006,365.0,24.887286018245824,15.777266193420456,963.6195,938.732242573387,2.571869157735307,1.6412695561044988,4.976070065124636,1.884836868583362,2.3265602330703863,0.9741731419030024,0.6339488436727708
02237734,2007,364.0,7.270045967756207,3.406153133477618,1054.2474,1046.9773495476857,2.8763113998562795,1.6822187289467776,4.902348978216933,1.6926339740085226,2.4790654167751285,0.9931040031743154,0.46851878909493017
02237734,2008,365.0,119.51467074875677,71.23856801925868,1344.6849,1225.170263867332,3.356630859910499,1.750789811579922,4.738491743557586,1.2862116912457682,2.868365200015858,0.9111206875232053,0.5960654668832757
02237734,2009,365.0,205.87869379014987,128.0857092534463,1348.3531,1142.474478512096,3.1300670644167017,1.7044299723033163,4.752090725353694,1.2863937874939106,2.876353511211793,0.8473110171534567,0.6221416451379025
02237734,2010,365.0,100.95552674889836,65.91918065579924,1231.3632,1130.4075914227935,3.0970070997884753,1.7232831798787334,4.83941911819747,1.4344979910872218,2.7374281474738393,0.9180131653247212,0.6529526691466503
02237734,2011,365.0,23.842757092041694,13.44086784260491,1136.2334,1112.3906051058343,3.047645493440642,1.7070080095815554,4.856778201961225,1.5601759692626727,2.5988585519574996,0.9790159368977771,0.5637295968213023
02237734,2012,365.0,24.300658989151785,14.748082843373732,1091.2981,1066.9974476216232,2.923280678415406,1.7117113081907493,4.788632088148348,1.6016253662094078,2.516909146288699,0.9777323462973287,0.6069005309673914
02237734,2013,365.0,44.495455872723724,27.46244334975949,1250.0621,1205.5666359546688,3.3029222902867637,1.8458881652818329,4.85565236918931,1.41778001816761,2.7673511507101325,0.9644053710358192,0.6171965835862874
02237734,2014,365.0,184.39245005043622,114.22245370629284,1455.8706,1271.4780848464143,3.483501602318943,1.8727060408713228,4.65602066022906,1.1673067198416522,2.9806857469560777,0.8733455295204848,0.6194529856024472
02237734,2015,365.0,156.91208997634075,104.59699671563182,1175.5328,1018.6206706437765,2.790741563407607,2.0367632307807475,4.662179803877536,1.4475951457744802,2.6217335433820814,0.8665182618954292,0.6665961605087471
02237734,2016,365.0,120.85997492638754,73.78218277764829,1197.1562,1076.2963280025372,2.9487570630206497,1.9058123562960974,4.852712831078862,1.4795396869404345,2.690297881853239,0.8990441540129261,0.610476568629002
02237734,2017,365.0,215.36625830700697,139.11265938110887,1615.9633,1400.5969842238158,3.837252011572098,1.9464795269106971,4.717619582304065,1.065575680793963,3.171081080788082,0.866725761429867,0.6459352568720502
02237734,2018,365.0,143.17565538668447,88.01744860613827,1537.5305,1394.354896523716,3.820150401434838,1.9206692117673478,4.551228385358185,1.080432772984832,3.037401817404847,0.9068794931758914,0.6147514978606063
02237734,2019,365.0,208.9882507593377,133.64861226439498,1468.909,1259.9208202092902,3.4518378635870968,2.045918107642788,4.632183546672655,1.1510222404634016,2.9885273739003066,0.8577255437808311,0.6395029949233809
02237734,2020,365.0,187.30543670062005,128.6944953595864,1380.7081,1193.4026154577357,3.2695962067335222,1.904771716085879,4.638016960793096,1.226092723038549,2.887661878434746,0.8643409781030446,0.6870836086049411
02237734,2021,365.0,117.24121697256182,76.71053091096124,1401.3645,1284.123269721774,3.5181459444432166,1.9999236469795643,4.452590762781646,1.159723702256062,2.8607659310521614,0.916337803570771,0.6542966107978387
02237734,2022,365.0,219.6489155104677,135.65052544567968,1558.2112,1338.5622852036436,3.667293932064777,1.9531446964593158,4.562486713077327,1.0687303941175923,3.062140394515022,0.8590377870310779,0.6175788536466279
02237734,2023,365.0,143.29537551763497,84.82080607216302,1221.235,1077.9395697796062,2.9532590952865925,1.7858986451081666,4.636353020435662,1.385702893183866,2.681020678858531,0.8826635190681954,0.591929821641204
02236500,1997,365.0,120.08183012275155,55.00978035596904,1557.2346,1437.15272416802,3.937404723748,,4.892139279233843,1.1466678270393003,3.162808904970098,0.9228877309195237,0.45810244813671025
02236500,1998,365.0,239.87267774671847,196.60889156740814,1137.3729,897.5002251234597,2.458904726365643,,4.892139279233843,1.5699607384508345,2.6066884359078677,0.7890993407264206,0.8196385408054161
02236500,1999,365.0,3.369277740641711,1.5727016600025445,1205.3855,1202.0162508238113,3.2931952077364692,,4.892139279233843,1.4813774015148415,2.7099445161361615,0.9972048384284339,0.4667770902445723
02236500,2000,353.0,0.7776396147301896,0.5830384644353415,777.68414,776.9065015443274,2.2008682763295395,,4.892139279233843,2.2205996881462515,2.0139882303682652,0.9990000548050104,0.7497540678115182
02236500,2001,365.0,0.7582276413338279,0.30091971478619994,1291.814,1291.0556851079566,3.5371388633094702,2.0521764750899214,4.763928216116937,1.3460404100005225,2.8051458705644,0.9994130116592407,0.3968725200479902
02236500,2002,365.0,163.53293243657725,92.52929437552416,2038.3889,1874.8559492467723,5.136591641771979,2.1274194535853677,4.83477385780975,0.8657290295465047,3.5799543478484552,0.9197734222924909,0.5658144386997381
02236500,2003,357.0,371.9656833606023,278.13498493494046,1505.7607,1133.7950664562923,3.1758965446954965,2.19959057166909,4.593235631744088,1.0890077517563879,3.052805920091639,0.7529715941519148,0.7477436693139844
02236500,2006,365.0,22.237844956601556,17.51089414323654,1065.2112,1042.9733614795557,2.85746126432755,1.9298010254840436,5.1078579628070715,1.750233370206558,2.5218762484684056,0.9791235573336557,0.7874366503323531
02236500,2007,365.0,1.0389346287068546,0.6302660930670154,1044.076,1043.0371394946758,2.85763599861555,1.9880378051580314,5.065302670850233,1.7707862135197832,2.479819692883793,0.9990049476662106,0.6066465354528586
02236500,2008,358.0,3.744800174646032,1.4894040856596227,1283.2448,1279.4999565239623,3.574022224927269,1.9761715053271056,4.955248496504564,1.3824166905016502,2.8697102082453707,0.9970817769176532,0.39772591759195935
