,02236350_event_rainfall,02237734_event_rainfall,02236500_event_rainfall,02236605_event_rainfall,02236700_event_rainfall,02240954_event_rainfall,02240902_event_rainfall,02231342_event_rainfall,02231396_event_rainfall,02231454_event_rainfall,02231458_event_rainfall,02231600_event_rainfall,02232155_event_rainfall,02232200_event_rainfall,02232415_event_rainfall,02233001_event_rainfall,02233200_event_rainfall,02233460_event_rainfall,02233473_event_rainfall,02234308_event_rainfall,02234324_event_rainfall,02234990_event_rainfall,02234344_event_rainfall,02234998_event_rainfall,02234400_event_rainfall,02234635_event_rainfall,02234384_event_rainfall,02234365_event_rainfall,022349993_event_rainfall,02235000_event_rainfall,02233475_event_rainfall,02233484_event_rainfall,02233500_event_rainfall,02234180_event_rainfall,02235200_event_rainfall,02246000_event_rainfall,02244320_event_rainfall,02244333_event_rainfall,02245255_event_rainfall,02245260_event_rainfall,02245328_event_rainfall,02246150_event_rainfall,02244473_event_rainfall,02245050_event_rainfall,02245140_event_rainfall,02245500_event_rainfall,02246318_event_rainfall,02246300_event_rainfall,02246459_event_rainfall,02246828_event_rainfall,02246832_event_rainfall,02246515_event_rainfall,02246520_event_rainfall,02246359_event_rainfall,02231280_event_rainfall,02231268_event_rainfall
1980-05-21 00:00:00+00:00,,,,,,,2.2294023,,,,,,,,,2.717298,,,,,,,,,,,,,,,,,,,,,2.8142142,,2.0717666,,,3.0126748,1.938562,2.1652458,2.002693,,,2.3163903,,3.1564102,3.308667,,,,2.247108,
1980-05-22 00:00:00+00:00,,,,,,2.555632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-05-23 00:00:00+00:00,,,,,,,1.019841,,,,,,,,,1.2855097,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5851157,0.76525927,0.5426693,,,,,,,,,,,
1980-05-25 00:00:00+00:00,,,,,,2.1966,1.8973963,,,,,,,,,1.9452788,,,,,,,,,,,,,,,,,,,,,1.124347,,1.0839,,,0.37730002,1.3542233,1.4574612,1.3211024,,,0.8162317,,0.26428205,0.15316667,,,,0.64458114,
1980-06-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69255,,,,,,1.2275366,,0.79853845,0.72283334,,,,1.1969594,
1980-06-10 00:00:00+00:00,,,,,,0.783176,0.75211704,,,,,,,,,1.4105288,,,,,,,,,,,,,,,,,,,,,2.19376,,0.5534333,,,,1.2825619,0.70444787,0.46517324,,,,,,,,,,,
1980-06-18 00:00:00+00:00,,,,,,1.68652,1.933883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8086275,,,,,,,,,,,,,,,,,,,
1980-06-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0779667,,,2.66435,5.756653,4.7463045,6.2416453,,,2.9272683,,2.3958716,2.1415832,,,,1.753581,
1980-06-20 00:00:00+00:00,,,,,,0.65563196,0.96130925,,,,,,,,,2.1882212,,,,,,,,,,,,,,,,,,,,,2.404342,,,,,,,,,,,,,,,,,,,
1980-06-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08005,,,,,,3.5400486,,2.2787051,2.0625834,,,,3.3846085,
